Year,House Majority,Senate Majority,Presidency,Party Government
119th (2025–2027),Republicans,Republicans,Republican (Trump),Unified
118th (2023–2025),Republicans,Democrats,Democrat (Biden),Divided
117th (2021–2023),Democrats,Democrats14,Democrat (Biden),Unified
116th (2019–2021),Democrats,Republicans,Republican (Trump),Divided
115th (2017–2019),Republicans,Republicans,Republican (Trump),Unified
114th (2015–2017),Republicans,Republicans,Democrat (Obama),Divided
113th (2013–2015),Republicans,Democrats,Democrat (Obama),Divided
112th (2011–2013),Republicans,Democrats,Democrat (Obama),Divided
111th (2009–2011),Democrats,Democrats,Democrat (Obama),Unified
110th (2007–2009),Democrats,Democrats13,Republican (G.W. Bush),Divided
109th (2005–2007),Republicans,Republicans,Republican (G.W. Bush),Unified
108th (2003–2005),Republicans,Republicans,Republican (G.W. Bush),Unified
107th (2001–2003),Republicans,Republicans / Democrats12,Republican (G.W. Bush),Unified / Divided
106th (1999–2001),Republicans,Republicans,Democrat (Clinton),Divided