,"Military Spending/Defense Budget"
"1960",47346552670.21
"1961",49879770605.06
"1962",54650942605.08
"1963",54561215775.42
"1964",53432327058.17
"1965",54561791263.23
"1966",66442751527.32
"1967",78398442240.52
"1968",84329031218.25
"1969",84990165430.77
"1970",83407993004.89
"1971",78237979893.08
"1972",80708070966.49
"1973",81469794407.59
"1974",89278920339.82
"1975",92080928753.65
"1976",94715251079.71
"1977",104665218971.63
"1978",113382063749.09
"1979",126879927116.76
"1980",143688354872.68
"1981",176558875270.82
"1982",221673542584.02
"1983",223427165005.73
"1984",245149168288.54
"1985",272163229313.06
"1986",295546223803.6
"1987",304086648682.91
"1988",309661269300.95
"1989",321866558808.32
"1990",325129313986.03
"1991",299372779114.59
"1992",325033735954.8
"1993",316719443747.42
"1994",308084000000
"1995",295853097724.66
"1996",287960668678.94
"1997",293167825790.97
"1998",290996055088.38
"1999",298094891322.4
"2000",320086324211.2
"2001",331805610572.14
"2002",378463138753.84
"2003",440532069586.19
"2004",492999376159.4
"2005",533203000000
"2006",558335000000
"2007",589586000000
"2008",656756000000
"2009",705917000000
"2010",738005000000
"2011",752288000000
"2012",725205000000
"2013",679229000000
"2014",647789000000
"2015",633829639000
"2016",639856443000
"2017",646752927000
"2018",682491400000
"2019",734344100000
"2020",778397200000
"2021",806230200000
"2022",860692200000
"2023",916014700000